Temperature	Strain_p	Strain
303.712000	0.472153	0.004722
303.713000	0.472153	0.004722
303.714000	0.472185	0.004722
303.714000	0.472283	0.004723
303.713000	0.472434	0.004724
303.710000	0.472645	0.004726
303.703000	0.472870	0.004729
303.693000	0.473120	0.004731
303.679000	0.473364	0.004734
303.666000	0.473580	0.004736
303.656000	0.473786	0.004738
303.650000	0.473973	0.004740
303.647000	0.474122	0.004741
303.642000	0.474255	0.004743
303.638000	0.474363	0.004744
303.635000	0.474438	0.004744
303.632000	0.474480	0.004745
303.623000	0.474511	0.004745
303.608000	0.474520	0.004745
303.589000	0.474501	0.004745
303.562000	0.474385	0.004744
303.533000	0.474303	0.004743
303.508000	0.474193	0.004742
303.483000	0.474056	0.004741
303.455000	0.473928	0.004739
303.429000	0.473794	0.004738
303.404000	0.473662	0.004737
303.380000	0.473551	0.004736
303.355000	0.473472	0.004735
303.333000	0.473416	0.004734
303.307000	0.473378	0.004734
303.276000	0.473385	0.004734
303.247000	0.473427	0.004734
303.220000	0.473513	0.004735
303.194000	0.473649	0.004736
303.172000	0.473822	0.004738
303.154000	0.474004	0.004740
303.136000	0.474170	0.004742
303.113000	0.474330	0.004743
303.097000	0.474401	0.004744
303.081000	0.474544	0.004745
303.060000	0.474612	0.004746
303.032000	0.474637	0.004746
303.000000	0.474595	0.004746
302.965000	0.474544	0.004745
302.928000	0.474466	0.004745
302.894000	0.474343	0.004743
302.859000	0.474183	0.004742
302.824000	0.473975	0.004740
302.791000	0.473722	0.004737
302.758000	0.473433	0.004734
302.723000	0.473098	0.004731
302.687000	0.472742	0.004727
302.654000	0.472381	0.004724
302.618000	0.472000	0.004720
302.579000	0.471621	0.004716
302.537000	0.471266	0.004713
302.496000	0.470947	0.004709
302.454000	0.470574	0.004706
302.415000	0.470348	0.004703
302.379000	0.470205	0.004702
302.345000	0.470152	0.004702
302.313000	0.470269	0.004703
302.281000	0.470391	0.004704
302.254000	0.470571	0.004706
302.227000	0.470777	0.004708
302.198000	0.471017	0.004710
302.171000	0.471252	0.004713
302.139000	0.471466	0.004715
302.103000	0.471640	0.004716
302.064000	0.471758	0.004718
302.017000	0.471830	0.004718
301.966000	0.471843	0.004718
301.912000	0.471790	0.004718
301.859000	0.471701	0.004717
301.805000	0.471539	0.004715
301.750000	0.471325	0.004713
301.694000	0.471047	0.004710
301.642000	0.470811	0.004708
301.591000	0.470570	0.004706
301.544000	0.470347	0.004703
301.505000	0.470133	0.004701
301.471000	0.469964	0.004700
301.441000	0.469847	0.004698
301.410000	0.469766	0.004698
301.374000	0.469703	0.004697
301.335000	0.469654	0.004697
301.291000	0.469649	0.004696
301.243000	0.469670	0.004697
301.189000	0.469697	0.004697
301.127000	0.469734	0.004697
301.056000	0.469793	0.004698
300.980000	0.469849	0.004698
300.901000	0.469903	0.004699
300.819000	0.469967	0.004700
300.743000	0.470025	0.004700
300.671000	0.470150	0.004702
300.600000	0.470178	0.004702
300.530000	0.470194	0.004702
300.464000	0.470194	0.004702
300.398000	0.470182	0.004702
300.333000	0.470236	0.004702
300.267000	0.470209	0.004702
300.202000	0.470130	0.004701
300.135000	0.470003	0.004700
300.069000	0.469802	0.004698
300.002000	0.469570	0.004696
299.932000	0.469255	0.004693
299.860000	0.468952	0.004690
299.786000	0.468641	0.004686
299.709000	0.468332	0.004683
299.631000	0.468026	0.004680
299.550000	0.467751	0.004678
299.468000	0.467498	0.004675
299.386000	0.467379	0.004674
299.304000	0.467249	0.004672
299.223000	0.467173	0.004672
299.143000	0.467156	0.004672
299.063000	0.467231	0.004672
298.983000	0.467353	0.004674
298.906000	0.467565	0.004676
298.831000	0.467775	0.004678
298.763000	0.468002	0.004680
298.693000	0.468225	0.004682
298.621000	0.468432	0.004684
298.546000	0.468615	0.004686
298.469000	0.468786	0.004688
298.389000	0.468931	0.004689
298.302000	0.469059	0.004691
298.217000	0.469155	0.004692
298.130000	0.469227	0.004692
298.041000	0.469247	0.004692
297.950000	0.469455	0.004695
297.856000	0.469402	0.004694
297.756000	0.469287	0.004693
297.653000	0.469143	0.004691
297.546000	0.468988	0.004690
297.436000	0.468836	0.004688
297.324000	0.468687	0.004687
297.208000	0.468594	0.004686
297.091000	0.468460	0.004685
296.974000	0.468340	0.004683
296.853000	0.468235	0.004682
296.729000	0.468167	0.004682
296.603000	0.468093	0.004681
296.476000	0.468034	0.004680
296.349000	0.467989	0.004680
296.220000	0.467952	0.004680
296.092000	0.467925	0.004679
295.966000	0.467907	0.004679
295.843000	0.467890	0.004679
295.721000	0.467884	0.004679
295.600000	0.467826	0.004678
295.474000	0.467821	0.004678
295.341000	0.467850	0.004679
295.204000	0.467896	0.004679
295.064000	0.467923	0.004679
294.923000	0.467987	0.004680
294.781000	0.468138	0.004681
294.641000	0.468170	0.004682
294.507000	0.468152	0.004682
294.375000	0.468070	0.004681
294.247000	0.467874	0.004679
294.121000	0.467642	0.004676
294.001000	0.467364	0.004674
293.888000	0.467051	0.004671
293.783000	0.466723	0.004667
293.685000	0.466397	0.004664
293.594000	0.466086	0.004661
293.506000	0.465809	0.004658
293.419000	0.465520	0.004655
293.326000	0.465367	0.004654
293.230000	0.465251	0.004653
293.128000	0.465210	0.004652
293.017000	0.465234	0.004652
292.900000	0.465326	0.004653
292.779000	0.465476	0.004655
292.662000	0.465691	0.004657
292.545000	0.465884	0.004659
292.430000	0.466084	0.004661
292.315000	0.466279	0.004663
292.199000	0.466466	0.004665
292.079000	0.466569	0.004666
291.960000	0.466633	0.004666
291.840000	0.466637	0.004666
291.718000	0.466589	0.004666
291.598000	0.466487	0.004665
291.480000	0.466321	0.004663
291.362000	0.466109	0.004661
291.242000	0.465999	0.004660
291.120000	0.465750	0.004658
290.998000	0.465486	0.004655
290.877000	0.465240	0.004652
290.759000	0.465019	0.004650
290.641000	0.464825	0.004648
290.524000	0.464701	0.004647
290.406000	0.464559	0.004646
290.286000	0.464551	0.004646
290.167000	0.464585	0.004646
290.048000	0.464648	0.004646
289.931000	0.464750	0.004648
289.815000	0.464858	0.004649
289.699000	0.464967	0.004650
289.585000	0.465070	0.004651
289.465000	0.465161	0.004652
289.342000	0.465243	0.004652
289.215000	0.465331	0.004653
289.087000	0.465450	0.004655
288.959000	0.465521	0.004655
288.829000	0.465527	0.004655
288.706000	0.465553	0.004656
288.586000	0.465558	0.004656
288.468000	0.465555	0.004656
288.351000	0.465565	0.004656
288.238000	0.465445	0.004654
288.124000	0.465367	0.004654
288.007000	0.465260	0.004653
287.891000	0.465110	0.004651
287.779000	0.464885	0.004649
287.671000	0.464626	0.004646
287.559000	0.464326	0.004643
287.446000	0.463986	0.004640
287.332000	0.463619	0.004636
287.218000	0.463236	0.004632
287.102000	0.462837	0.004628
286.984000	0.462437	0.004624
286.865000	0.462033	0.004620
286.745000	0.461645	0.004616
286.630000	0.461218	0.004612
286.519000	0.460879	0.004609
286.416000	0.460624	0.004606
286.316000	0.460448	0.004604
286.218000	0.460101	0.004601
286.119000	0.460110	0.004601
286.020000	0.460239	0.004602
285.919000	0.460442	0.004604
285.813000	0.460699	0.004607
285.704000	0.460974	0.004610
285.593000	0.461258	0.004613
285.478000	0.461544	0.004615
