Temperature	Strain
23.7	19.943
23.7	19.946
23.7	19.95
23.7	19.95
23.7	19.946
23.7	19.941
23.7	19.95
23.7	19.949
23.7	19.946
23.7	19.946
23.7	19.95
23.7	19.949
23.7	19.949
23.7	19.946
23.7	19.949
23.7	19.949
23.7	19.944
23.7	19.943
23.8	19.949
23.8	19.949
23.8	19.943
23.7	19.943
23.7	19.946
23.7	19.94
23.7	19.934
23.7	19.943
23.7	19.937
23.7	19.943
23.7	19.943
23.7	19.94
23.7	19.943
23.7	19.94
23.7	19.94
23.7	19.946
23.7	19.94
23.7	19.937
23.7	19.934
23.7	19.938
23.7	19.941
23.7	19.938
23.7	19.938
23.7	19.941
23.7	19.938
23.7	19.941
23.7	19.941
23.7	19.95
23.7	19.945
23.7	19.947
23.7	19.944
23.7	19.938
23.7	19.941
23.7	19.941
23.7	19.944
23.7	19.947
23.7	19.941
23.7	19.935
23.7	19.935
23.7	19.941
23.7	19.944
23.7	19.941
23.7	19.941
23.7	19.944
23.7	19.944
23.7	19.941
23.7	19.941
23.7	19.941
23.7	19.941
23.7	19.947
23.7	19.945
23.7	19.944
23.7	19.941
23.7	19.935
23.7	19.944
23.7	19.941
23.7	19.941
23.7	19.938
23.7	19.947
23.7	19.947
23.7	19.944
23.7	19.947
23.7	19.941
23.7	19.941
23.7	19.944
23.7	19.947
23.7	19.953
23.7	19.947
23.7	19.953
23.7	19.954
23.7	19.953
23.7	19.95
23.7	19.947
23.7	19.947
23.7	19.951
23.7	19.945
23.7	19.947
23.7	19.944
23.7	19.941
23.7	19.934
23.7	19.941
23.7	19.941
23.7	19.937
23.7	19.941
23.7	19.938
23.7	19.94
23.7	19.937
23.7	19.94
23.7	19.938
23.7	19.938
23.7	19.94
23.7	19.94
23.7	19.941
23.7	19.94
23.7	19.943
23.7	19.943
23.7	19.943
23.7	19.943
23.7	19.94
23.7	19.943
23.7	19.943
23.7	19.943
23.7	19.943
23.7	19.943
23.7	19.943
23.7	19.94
23.7	19.94
23.7	19.94
23.7	19.937
23.7	19.94
23.7	19.937
23.7	19.943
23.7	19.94
23.7	19.946
23.7	19.971
23.7	19.949
23.7	19.953
23.7	19.95
23.8	19.944
23.8	19.944
23.8	19.944
23.9	19.944
23.9	19.944
23.9	19.947
24	19.944
24	19.944
24.1	19.944
24.2	19.947
24.2	19.944
24.3	19.945
24.4	19.947
24.4	19.951
24.5	19.948
24.7	19.945
24.7	19.947
24.9	19.944
25	19.945
25	19.944
25.2	19.944
25.4	19.944
25.4	19.944
25.6	19.944
25.8	19.947
25.8	19.947
26.1	19.947
26.3	19.947
26.3	19.947
26.6	19.947
26.9	19.944
26.9	19.947
27.1	19.948
27.3	19.95
27.3	19.948
27.6	19.947
27.9	19.947
27.9	19.951
28.1	19.944
28.4	19.948
28.4	19.947
28.7	19.947
29	19.948
29	19.948
29.3	19.947
29.6	19.947
29.6	19.947
29.9	19.947
30.2	19.95
30.2	19.95
30.5	19.95
30.8	19.95
30.8	19.95
31.1	19.95
31.5	19.95
31.5	19.95
31.8	19.95
32.1	19.95
32.1	19.953
32.5	19.953
32.5	19.953
32.9	19.949
33.2	19.95
33.2	19.946
33.5	19.947
33.8	19.95
33.8	19.949
34.1	19.95
34.5	19.949
34.5	19.947
34.8	19.946
35.1	19.947
35.1	19.947
35.5	19.944
35.8	19.944
35.8	19.941
36.1	19.944
36.5	19.947
36.5	19.944
36.8	19.944
37.1	19.944
37.1	19.944
37.5	19.941
37.8	19.944
37.8	19.942
38.2	19.945
38.6	19.944
38.6	19.944
38.9	19.944
39.3	19.941
39.3	19.944
39.7	19.941
40	19.942
40	19.941
40.4	19.941
40.7	19.941
40.7	19.938
41.1	19.941
41.4	19.941
41.4	19.941
41.7	19.941
42.1	19.938
42.1	19.938
42.4	19.934
42.8	19.941
42.8	19.937
43.1	19.935
43.4	19.937
43.4	19.935
43.7	19.934
44.1	19.934
44.1	19.938
44.5	19.934
44.8	19.934
44.8	19.934
45.2	19.931
45.2	19.934
45.5	19.934
45.8	19.934
45.8	19.928
46.1	19.931
46.5	19.934
46.5	19.928
46.8	19.934
47.2	19.931
47.2	19.934
47.5	19.932
47.8	19.934
47.8	19.937
48.2	19.934
48.5	19.934
48.5	19.931
48.9	19.934
49.2	19.934
49.2	19.937
49.6	19.94
49.9	19.94
49.9	19.937
50.3	19.94
50.8	19.94
50.8	19.94
51.1	19.94
51.5	19.94
51.5	19.943
51.8	19.943
52.1	19.946
52.1	19.949
52.4	19.949
52.8	19.947
52.8	19.947
53.1	19.947
53.4	19.947
53.4	19.95
53.7	19.95
54.2	19.95
54.2	19.953
54.5	19.95
54.9	19.953
54.9	19.953
55.2	19.959
55.5	19.959
55.5	19.96
55.8	19.956
56.2	19.957
56.2	19.954
56.5	19.955
56.8	19.957
56.8	19.959
57.1	19.953
57.4	19.959
57.4	19.956
57.7	19.95
57.7	19.953
58	19.95
58.4	19.947
58.4	19.944
58.7	19.95
59.1	19.947
59.1	19.944
59.3	19.944
59.6	19.947
59.6	19.95
59.9	19.947
60.2	19.951
60.2	19.944
60.5	19.947
60.7	19.941
60.7	19.944
61.1	19.945
61.5	19.944
61.5	19.941
61.8	19.941
62.1	19.935
62.1	19.932
62.4	19.935
62.7	19.932
62.7	19.932
63	19.935
63.3	19.929
63.3	19.933
63.6	19.941
63.9	19.935
63.9	19.941
64.3	19.939
64.6	19.941
64.6	19.941
64.9	19.941
65.2	19.936
65.2	19.935
65.7	19.932
66	19.935
66	19.932
66.3	19.935
66.6	19.941
66.6	19.944
66.9	19.941
67.1	19.944
67.1	19.945
67.5	19.947
67.9	19.947
67.9	19.95
68.3	19.947
68.5	19.944
68.5	19.953
68.8	19.952
69.1	19.953
69.1	19.953
69.4	19.956
69.8	19.956
69.8	19.959
70.1	19.962
70.1	19.958
70.4	19.962
70.7	19.959
70.7	19.962
71	19.958
71.2	19.965
71.2	19.962
71.5	19.965
71.8	19.962
71.8	19.968
72.1	19.971
72.4	19.971
72.4	19.968
72.8	19.968
73.2	19.971
73.2	19.962
73.4	19.971
73.6	19.965
73.6	19.971
74	19.971
74.3	19.968
74.3	19.965
74.7	19.955
74.9	19.965
74.9	19.958
75.2	19.965
75.5	19.958
75.5	19.955
75.8	19.961
76.1	19.952
76.1	19.955
76.4	19.959
76.6	19.956
76.6	19.952
76.8	19.956
77	19.956
77	19.952
77.2	19.956
77.5	19.953
77.5	19.949
77.7	19.947
77.8	19.947
77.8	19.937
78	19.937
78.3	19.934
78.3	19.941
78.4	19.935
78.7	19.938
78.7	19.941
78.9	19.943
79.1	19.947
79.1	19.947
79.2	19.934
79.4	19.941
79.4	19.935
79.5	19.944
79.6	19.938
79.6	19.94
79.7	19.942
79.7	19.95
79.8	19.953
80	19.951
80	19.953
80	19.959
80.2	19.953
80.2	19.956
80.2	19.956
80.4	19.957
80.4	19.958
80.4	19.956
80.5	19.957
80.5	19.95
80.7	19.953
80.8	19.956
80.8	19.962
80.9	19.963
80.9	19.963
80.9	19.963
80.9	19.971
81	19.973
81	19.981
81.1	19.978
81.1	19.973
81.1	19.978
81.1	19.974
81.2	19.98
81.2	19.981
